Question,Option A,Option B,Option C,Option D,Correct Answer,,
Which actor is known for both Bollywood and Hollywood?,Aamir Khan,Shah Rukh Khan,Om Puri,Irrfan Khan,Irrfan Khan,,
Which Korean film is about a mysterious serial killer?,Train to Busan,Memories of Murder,The Wailing,Oldboy,Memories of Murder,,
What Indian film features a man aging backwards?,Black,PK,Barfi!,Laal Singh Chaddha,Laal Singh Chaddha,,
Which Indian actor played the lead in “Lagaan”?,Aamir Khan,Salman Khan,Shah Rukh Khan,Ajay Devgn,Aamir Khan,,
Which anime film was inspired by European architecture?,Akira,Spirited Away,Howl’s Moving Castle,Your Name,Howl’s Moving Castle,,
"Who directed the Bollywood film ""My Name is Khan""?",Farhan Akhtar,Karan Johar,Imtiaz Ali,Sanjay Leela Bhansali,Karan Johar,,
Which Indian film features a coach for women’s hockey?,Chak De India,Khoobsurat,Dangal,Sultan,Chak De India,,
Who is the famous Japanese anime director behind “Princess Mononoke”?,Satoshi Kon,Hayao Miyazaki,Isao Takahata,Mamoru Hosoda,Hayao Miyazaki,,
Which Indian actress starred in “Queen”?,Kangana Ranaut,Alia Bhatt,Priyanka Chopra,Deepika Padukone,Kangana Ranaut,,
Which South Korean movie is about a man locked in a room for 15 years?,The Wailing,Memories of Murder,Oldboy,Silenced,Oldboy,,
"Who played the role of Mohan in ""Swades""?",Saif Ali Khan,Hrithik Roshan,Shah Rukh Khan,Aamir Khan,Shah Rukh Khan,,
Which Chinese actress starred in “Crouching Tiger, Hidden Dragon”?,Fan Bingbing,Gong Li,Maggie Cheung,Michelle Yeoh,,
Which anime movie is about living with forest spirits?,Ponyo,Princess Mononoke,Grave of the Fireflies,Spirited Away,Princess Mononoke,,
Which Indian film is based on real-life math genius Anand Kumar?,Super 30,Dangal,Black,Genius,Super 30,,
Who directed the Indian movie “Black”?,Karan Johar,Sanjay Leela Bhansali,Rajkumar Hirani,Anurag Basu,Sanjay Leela Bhansali,,
Which actor starred in the Japanese horror film “Ringu”?,Rie Ino’o,Koji Suzuki,Hiroyuki Sanada,Naomi Watanabe,Hiroyuki Sanada,,
Which Korean film revolves around social class inequality?,Train to Busan,Oldboy,Parasite,Secret Sunshine,Parasite,,
Which Indian musical film is inspired by street rap?,ABCD,Gully Boy,Band Baaja Baaraat,Rock On!!,Gully Boy,,
Which Indian director is known for his film “Peepli Live”?,Anusha Rizvi,Anurag Kashyap,Karan Johar,Imtiaz Ali,Anusha Rizvi,,
Which animated Japanese film deals with WW2 bombing?,Akira,Spirited Away,Grave of the Fireflies,Paprika,Grave of the Fireflies,,
"Which Bollywood actor appeared in ""Lunchbox""?",Shah Rukh Khan,Nawazuddin Siddiqui,Irrfan Khan,Saif Ali Khan,Irrfan Khan,,
What genre is most common in Japanese anime films?,Fantasy,Crime,Western,Rom-Com,Fantasy,,
Who directed the film “Barfi!”?,Imtiaz Ali,Anurag Basu,Karan Johar,Zoya Akhtar,Anurag Basu,,
Which Indian film starred a deaf and mute protagonist?,Black,Dangal,Barfi!,Taare Zameen Par,Barfi!,,
"Which Korean actor gained global fame from ""Squid Game""?",Song Kang-ho,Lee Jung-jae,Choi Min-sik,Park Hae-soo,Lee Jung-jae,,
Which Indian film is about reincarnation and revenge?,Om Shanti Om,Baahubali,Karan Arjun,Mughal-e-Azam,Karan Arjun,,
Which Chinese film tells the story of a young martial artist?,Hero,The Grandmaster,Ip Man,House of Flying Daggers,Ip Man,,
Which anime film involves switching bodies?,A Silent Voice,Akira,Your Name,Tokyo Godfathers,Your Name,,
Which Indian actress appeared in “The Sky is Pink”?,Deepika Padukone,Priyanka Chopra,Alia Bhatt,Kangana Ranaut,Priyanka Chopra,,
Which Korean drama inspired the movie “20th Century Girl”?,Hospital Playlist,Reply 1988,Love Alarm,Youth of May,Reply 1988,,
Which Indian film won the National Film Award in 2022?,Soorarai Pottru,Shershaah,Sardar Udham,Jai Bhim,Soorarai Pottru,,
Which anime film centers around high school romance?,Spirited Away,Your Name,Ponyo,Princess Mononoke,Your Name,,
Who played the role of Milkha Singh in “Bhaag Milkha Bhaag”?,John Abraham,Farhan Akhtar,Ranveer Singh,Ranbir Kapoor,Farhan Akhtar,,
Which Indian film shows cricket as the main plot?,Dangal,MS Dhoni,Lagaan,83,Lagaan,,
Which Korean actress starred in “The Handmaiden”?,Kim Tae-ri,Son Ye-jin,Bae Doona,Jun Ji-hyun,Kim Tae-ri,,
Which Indian film is about a blind pianist?,Andhadhun,Barfi!,Kaabil,Tamasha,Andhadhun,,
What’s the name of the Indian film about child education?,Taare Zameen Par,3 Idiots,Chhichhore,Super 30,Taare Zameen Par,,
Which Bollywood film features a split-personality cop?,Don,Singham,Ghajini,Ek Villain,Ghajini,,
Which Japanese movie involves a haunted video tape?,Dark Water,Ju-On,Ringu,Noroi,Ringu,,
"Which Indian director is known for ""Masaan""?",Anurag Kashyap,Neeraj Ghaywan,Vishal Bhardwaj,Imtiaz Ali,Neeraj Ghaywan,,
Which Korean movie is based on true courtroom events?,The Attorney,Silenced,The Truth Beneath,1987: When the Day Comes,Silenced,,
Which Indian film is about female empowerment in rural India?,Pagglait,Nil Battey Sannata,Thappad,Toilet: Ek Prem Katha,Nil Battey Sannata,,
Who played the main role in “PK”?,Saif Ali Khan,Shah Rukh Khan,Aamir Khan,Akshay Kumar,Aamir Khan,,
What’s the name of the Chinese-American film that won Best Picture in 2021?,The Farewell,Minari,Nomadland,Everything Everywhere All at Once,Everything Everywhere All at Once,,
Which Indian film has the dialogue “All is well”?,3 Idiots,PK,Taare Zameen Par,Chhichhore,3 Idiots,,
Which anime film explores the spirit world?,Akira,Weathering With You,Spirited Away,The Wind Rises,Spirited Away,,
Which Korean director is known for thrillers?,Park Chan-wook,Na Hong-jin,Yoon Je-kyoon,Lee Joon-ik,Park Chan-wook,,
Which Bollywood film is based on surgical strikes?,Uri: The Surgical Strike,Raazi,Airlift,Baby,Uri: The Surgical Strike,,
What’s the theme of “The Lunchbox”?,Food and relationships,Cricket and rivalry,Mystery and thriller,Science fiction,Food and relationships,,
"Who starred in ""Kabir Singh""?",Ranveer Singh,Shahid Kapoor,Tiger Shroff,Ayushmann Khurrana,Shahid Kapoor,,
Which Bollywood movie depicts a journey of self-discovery in Europe?,Queen,Tamasha,Yeh Jawaani Hai Deewani,Zindagi Na Milegi Dobara,Queen,,
What Indian film was adapted from “Forrest Gump”?,Laal Singh Chaddha,PK,3 Idiots,Bajrangi Bhaijaan,Laal Singh Chaddha,,
Who played the lead role in the Korean movie “Train to Busan”?,Gong Yoo,Lee Byung-hun,Park Seo-joon,Ma Dong-seok,Gong Yoo,,
Which Indian film was centered around a girl with cerebral palsy?,Margarita with a Straw,Black,Barfi!,Hichki,Margarita with a Straw,,
Which anime director created “The Wind Rises”?,Hayao Miyazaki,Isao Takahata,Satoshi Kon,Shinkai Makoto,Hayao Miyazaki,,
What is the theme of “Tokyo Godfathers”?,Christmas miracle,War,Superpowers,Time travel,Christmas miracle,,
Which Bollywood actor starred in “Devdas” (2002)?,Salman Khan,Shah Rukh Khan,Aamir Khan,Ajay Devgn,Shah Rukh Khan,,
Which Indian film was inspired by the story of Neerja Bhanot?,Raazi,Neerja,Airlift,Mardaani,Neerja,,
What’s the setting of the anime “A Silent Voice”?,High school,War zone,Fantasy world,Future city,High school,,
Who directed the Bollywood film “Taare Zameen Par”?,Karan Johar,Aamir Khan,Zoya Akhtar,Rakesh Omprakash Mehra,Aamir Khan,,
Which Chinese martial arts movie stars Jet Li?,Shaolin Soccer,Hero,Crouching Tiger,Iron Monkey,Hero,,
Which Indian actress starred in “Raazi”?,Alia Bhatt,Kriti Sanon,Priyanka Chopra,Deepika Padukone,Alia Bhatt,,
Which Korean movie is about a zombie outbreak on a train?,The Call,Peninsula,Train to Busan,Alive,Train to Busan,,
Who played the role of Rani in “Queen”?,Alia Bhatt,Kangana Ranaut,Anushka Sharma,Sonam Kapoor,Kangana Ranaut,,
Which anime film features the Catbus?,The Wind Rises,Ponyo,My Neighbor Totoro,Kiki’s Delivery Service,My Neighbor Totoro,,
Which Indian director is known for “3 Idiots”?,Rajkumar Hirani,Anurag Basu,Zoya Akhtar,Farhan Akhtar,Rajkumar Hirani,,
Which Indian movie is a biopic of an Olympic boxer?,Mary Kom,Dangal,Gold,Bhaag Milkha Bhaag,Mary Kom,,
Which Korean drama inspired the movie “20th Century Girl”?,Hospital Playlist,Reply 1988,Love Alarm,Youth of May,Reply 1988,,
Which anime director made “Paprika”?,Satoshi Kon,Hayao Miyazaki,Makoto Shinkai,Isao Takahata,Satoshi Kon,,
Who starred in the Indian horror-comedy “Stree”?,Rajkummar Rao,Ayushmann Khurrana,Shahid Kapoor,Vicky Kaushal,Rajkummar Rao,,
Which Bollywood movie is about three friends at college?,Dil Chahta Hai,3 Idiots,Rang De Basanti,Chhichhore,3 Idiots,,
Which Indian movie was about chess and life?,Wazir,Shatranj Ke Khiladi,The Chess Player,Mind Game,Shatranj Ke Khiladi,,
Which Korean film features a father and daughter’s escape?,Train to Busan,Parasite,Burning,Miracle in Cell No.7,Train to Busan,,
What is the genre of “Your Name”?,Romantic fantasy,Crime thriller,Martial arts,Horror,Romantic fantasy,,
Who directed the anime film “Weathering with You”?,Satoshi Kon,Hayao Miyazaki,Makoto Shinkai,Isao Takahata,Makoto Shinkai,,
Which Indian movie is a musical love story?,Rockstar,Article 15,Bandit Queen,Andhadhun,Rockstar,,
Which Chinese film tells a story of forbidden love and martial arts?,Crouching Tiger,The Wandering Earth,Hero,Red Cliff,Crouching Tiger,,
Which Indian film tells a story through courtroom drama?,Pink,Jolly LLB,Mulk,All of them,All of them,,
Who starred in the Bollywood film “Piku”?,Alia Bhatt,Priyanka Chopra,Deepika Padukone,Kangana Ranaut,Deepika Padukone,,
Which anime features a girl joining a witch’s delivery service?,My Neighbor Totoro,Spirited Away,Kiki’s Delivery Service,Ponyo,Kiki’s Delivery Service,,
Which Korean movie is about a serial killer?,I Saw the Devil,Miracle in Cell No.7,Burning,The Tower,I Saw the Devil,,
What does the anime “Spirited Away” explore?,Spiritual growth,Robots,War crimes,School life,Spiritual growth,,
Which Indian movie focused on infertility?,Vicky Donor,Article 15,Badhaai Ho,Shubh Mangal Saavdhan,Vicky Donor,,
Which Bollywood film has a female lead stranded in Paris?,Queen,English Vinglish,Tamasha,Highway,Queen,,
Which Indian actor starred in “Article 15”?,Ayushmann Khurrana,Shahid Kapoor,Vicky Kaushal,Rajkummar Rao,Ayushmann Khurrana,,
What’s the central theme of “Barfi!”?,Disability and love,War,Politics,Space,Disability and love,,
Which anime explores memory and time?,Your Name,A Silent Voice,Akira,Grave of the Fireflies,Your Name,,
Which Korean movie is based on a school teacher’s fight?,Silenced,The Attorney,1987:The Day Comes,Burning,Silenced,,
Which actor starred in “Dangal”?,Shah Rukh Khan,Aamir Khan,Hrithik Roshan,Ranbir Kapoor,Aamir Khan,,
Which Japanese director is known for surreal anime?,Satoshi Kon,Hayao Miyazaki,Naoko Yamada,Isao Takahata,Satoshi Kon,,
What Indian film explores family drama after death?,Pagglait,Thappad,Masaan,October,Pagglait,,
Which Indian movie is about a man’s journey to find his missing son?,Kahaani,Talvar,Mardaani,Madaari,Madaari,,
Who directed “Ponniyin Selvan”?,S. Shankar,Mani Ratnam,Atlee,Karthik Subbaraj,Mani Ratnam,,
What is “RRR” mainly about?,Revolutionaries,Boxers,Students,Scientists,Revolutionaries,,
Who starred in “RRR”?,N.T. Rama Rao Jr.,Yash,Allu Arjun,Ram Charan,N.T. Rama Rao Jr.,,
Which Indian movie won an Oscar for Best Original Song?,Lagaan,Slumdog Millionaire,Naatu Naatu,Rang De Basanti,Naatu Naatu,,
Which anime director created “5 Centimeters per Second”?,Satoshi Kon,Makoto Shinkai,Hayao Miyazaki,Naoko Yamada,Makoto Shinkai,,
Which Korean film is a mystery about missing people?,Burning,The Wailing,The Closet,The Host,Burning,,
Which Indian movie is set in a mental asylum?,Tere Naam,Kyon Ki,Mental Hai Kya,Anjaana Anjaani,Kyon Ki,,
What Bollywood movie shows an astronaut's journey?,Mission Mangal,Parmanu,Swades,Chandni Chowk to China,Mission Mangal,,
"Who played the lead in ""Shershaah""?",Sidharth Malhotra,Vicky Kaushal,Varun Dhawan,Kartik Aaryan,Sidharth Malhotra,,
Which Bollywood film shows five girls fighting patriarchy?,Thappad,Pink,Dil Dhadakne Do,Angry Indian Goddesses,Angry Indian Goddesses,,
What is the holy book of Islam?,Bible,Torah,Quran,Zabur,Quran,,
Who is considered the final prophet in Islam?,Moses,Jesus,Abraham,Muhammad,Muhammad,,
Which religion celebrates Christmas?,Islam,Judaism,Hinduism,Christianity,Christianity,,
What is the Jewish day of rest called?,Ramadan,Sabbath,Lent,Eid,Sabbath,,
Which angel revealed the Quran to Muhammad?,Mikail,Jibreel,Israfil,Azrael,Jibreel,,
Who led the Israelites out of Egypt?,Abraham,Moses,Noah,David,Moses,,
Which religion believes Jesus is the Son of God?,Judaism,Christianity,Islam,Buddhism,Christianity,,
What is the first book of the Bible?,Genesis,Exodus,Leviticus,Numbers,Genesis,,
Which city is sacred to all three Abrahamic religions?,Mecca,Jerusalem,Medina,Bethlehem,Jerusalem,,
Which prophet built the Ark?,David,Noah,Isaiah,Elijah,Noah,,
What is the Christian holy book called?,Quran,Torah,Bible,Vedas,Bible,,
What do Muslims call the pilgrimage to Mecca?,Passover,Hajj,Lent,Sabbath,Hajj,,
Which Jewish holiday celebrates freedom from slavery in Egypt?,Yom Kippur,Passover,Hanukkah,Rosh Hashanah,Passover,,
What is the name of God in Islam?,Yahweh,Elohim,Allah,Adonai,Allah,,
In Christianity, who betrayed Jesus?,Paul,Judas,Peter,Thomas,,
What is the central prayer of Judaism?,Shahada,Shema,Salat,Fajr,Shema,,
How many books are in the New Testament?,39,27,66,50,27,,
What is the Muslim prayer called?,Salah,Zakah,Hajj,Du’a,Salah,,
Which prophet is common to Islam, Christianity, and Judaism?,Moses,Zechariah,Ezekiel,,
What is the Christian celebration of Jesus' resurrection?,Good Friday,Lent,Easter,Pentecost,Easter,,
What is the Jewish New Year called?,Sukkot,Yom Kippur,Rosh Hashanah,Hanukkah,Rosh Hashanah,,
What language was most of the Old Testament written in?,Greek,Latin,Hebrew,Arabic,Hebrew,,
Which Islamic holiday marks the end of Ramadan?,Eid al-Adha,Mawlid,Eid al-Fitr,Ashura,Eid al-Fitr,,
Who is regarded as the founder of Judaism?,Jesus,Muhammad,Abraham,Paul,Abraham,,
Which Gospel is not part of the Bible?,Thomas,Matthew,Mark,Luke,Thomas,,
What is the Islamic declaration of faith called?,Fajr,Shahada,Zakat,Hijra,Shahada,,
What city was Jesus born in?,Nazareth,Bethlehem,Jerusalem,Galilee,Bethlehem,,
What is the name of the Jewish holy book?,Vedas,Quran,Bible,Tanakh,Tanakh,,
Who is considered the Messiah in Christianity?,David,Jesus,Solomon,Isaiah,Jesus,,
Which prophet split the Red Sea?,Elijah,Abraham,Moses,Joseph,Moses,,
What is the sacred language of the Quran?,Hebrew,Latin,Arabic,Greek,Arabic,,
Which day is holy for Christians?,Friday,Saturday,Sunday,Monday,Sunday,,
Which religion observes Yom Kippur?,Christianity,Islam,Hinduism,Judaism,Judaism,,
What does “Islam” mean?,Submission to God,Peace,Prayer,Faith,Submission to God,,
What is the symbol of Christianity?,Star,Crescent,Cross,Candle,Cross,,
Who is the mother of Jesus?,Hannah,Mary,Elizabeth,Sarah,Mary,,
What is the Jewish festival of lights?,Yom Kippur,Sukkot,Hanukkah,Passover,Hanukkah,,
In Islam, what is Zakat?,Fasting,Pilgrimage,Charity,Prayer,,
What does “Messiah” mean?,Servant,Lord,Anointed One,Prophet,Anointed One,,
What is the first month of the Islamic calendar?,Sha’ban,Muharram,Ramadan,Dhul-Hijjah,Muharram,,
Where was the Torah given?,Jerusalem,Mount Sinai,Mecca,Nazareth,Mount Sinai,,
What do Christians commemorate on Good Friday?,Crucifixion of Jesus,Birth of Jesus,Resurrection of Jesus,Last Supper,Crucifixion of Jesus,,
Who built the Kaaba?,Muhammad and Ali,Adam and Noah,Abraham and Ishmael,Moses and Aaron,Abraham and Ishmael,,
What is the Christian term for the promised savior?,Prophet,Messiah,Saint,Disciple,Messiah,,
In Judaism, what is a Rabbi?,Angel,Worshipper,Priest,Teacher,,
What is the central place of worship in Islam?,Church,Temple,Masjid,Altar,Masjid,,
Who was the first man according to Abrahamic religions?,Moses,Adam,Abraham,Noah,Adam,,
What is the Christian rite of baptism?,Circumcision,Blessing,Water purification,Initiation into faith,Initiation into faith,,
What is the Jewish ceremony for boys at age 13?,Eid,Communion,Bar Mitzvah,Baptism,Bar Mitzvah,,
What does “Christian” mean?,Follower of Christ,Follower of Moses,Follower of Allah,Follower of Saints,Follower of Christ,,
Which prophet is associated with the Ten Commandments?,Abraham,Noah,Moses,Solomon,Moses,,
What is the sacred day for Jews?,Friday,Saturday,Sunday,Monday,Saturday,,
What does “Quran” mean?,Scripture,Recitation,Guidance,Prayer,Recitation,,
Where was Jesus crucified?,Nazareth,Jericho,Golgotha,Cana,Golgotha,,
In Islam, what does “Umrah” mean?,Minor pilgrimage,Fasting,Charity,Prayer,,
What is the central Christian prayer?,Shema,Lord’s Prayer,Hail Mary,Creed,Lord’s Prayer,,
In Judaism, what is a Synagogue?,Mosque,Church,Temple,School,,
Which prophet was swallowed by a whale?,Moses,Elijah,Jonah,Isaiah,Jonah,,
What is the term for Islamic community?,Ummah,Sharia,Hadith,Khilafah,Ummah,,
What are the Gospels?,Laws,Prophecies,Biographies of Jesus,Poems,Biographies of Jesus,,
Who built the Temple in Jerusalem?,Moses,Solomon,David,Ezra,Solomon,,
What is the Jewish calendar based on?,Solar,Lunar,Both,Gospel,Lunar,,
In Christianity, what is the Trinity?,Three gods,One God in three persons,Prophets,Angels,,
Which religion uses the term “kosher”?,Islam,Christianity,Hinduism,Judaism,Judaism,,
What is the Night Journey in Islam called?,Hajj,Isra and Mi’raj,Hijrah,Badr,Isra and Mi’raj,,
Which gospel is considered the oldest?,John,Matthew,Mark,Luke,Mark,,
What is a Hadith?,Prayer,Quranic Verse,Saying of Prophet Muhammad,Angel’s words,Saying of Prophet Muhammad,,
What was the first miracle of Jesus?,Walking on water,Turning water into wine,Raising the dead,Healing blind,Turning water into wine,,
Who was the mother of Prophet Moses?,Maryam,Hannah,Yocheved,Sarah,Yocheved,,
What do Muslims break their fast with?,Bread,Water and dates,Milk and rice,Tea,Water and dates,,
Which prophet is associated with the Psalms?,David,Moses,Jesus,Solomon,David,,
What is the Muslim house of worship called?,Church,Temple,Mosque,Shrine,Mosque,,
Which religion uses the term “halal”?,Judaism,Christianity,Hinduism,Islam,Islam,,
Where did Prophet Muhammad migrate to?,Jerusalem,Mecca,Taif,Medina,Medina,,
What does “Torah” mean?,Wisdom,Law,Light,Truth,Law,,
What is the name of Jesus in Arabic?,Isa,Musa,Yusuf,Ibrahim,Isa,,
Who built the Ark of the Covenant?,Moses,Noah,Bezalel,Solomon,Bezalel,,
What is Eid al-Adha known for?,End of Ramadan,Prophet’s birthday,Sacrifice,Hajj,Sacrifice,,
What is the Islamic ruling system called?,Halakha,Canon Law,Sharia,Talmud,Sharia,,
Which prophet spoke to God in a burning bush?,Noah,Moses,Abraham,Jesus,Moses,,
What do Christians call the Last Supper?,Communion,Baptism,Confession,Mass,Communion,,
What’s the Jewish word for peace?,Salaam,Shanti,Shalom,Pax,Shalom,,
Which Gospel emphasizes Jesus as the Son of God?,Luke,Mark,Matthew,John,John,,
Who received the Ten Commandments?,Jesus,Moses,Muhammad,David,Moses,,
What is a “Messianic Jew”?,Muslim convert,Jewish believer in Jesus,Christian rabbi,Jewish priest,Jewish believer in Jesus,,
Which book is not in the Torah?,Exodus,Genesis,Matthew,Leviticus,Matthew,,
What is Pentecost?,Jewish New Year,Coming of the Holy Spirit,Passover,Resurrection Day,Coming of the Holy Spirit,,
In Islam, what is Laylat al-Qadr?,Day of Sacrifice,Day of Resurrection,Night of Decree,Friday prayer,,
What is the Hebrew term for commandments?,Salah,Hadith,Mitzvot,Zakat,Mitzvot,,
What’s the symbol of Judaism?,Star of David,Crescent,Cross,Flame,Star of David,,
In which language was the New Testament originally written?,Hebrew,Greek,Latin,Aramaic,Greek,,
What is the Kaaba covered with?,Silk,Gold,Cloth,Kiswah,Kiswah,,
Which prophet is known for patience in Islam?,Isa,Yusuf,Ayoub,Yunus,Ayoub,,
What is the Christian holy communion?,Feast,Worship,Bread and Wine ritual,Baptism,Bread and Wine ritual,,
Who is the angel of death in Islam?,Mikail,Jibreel,Azrael,Israfil,Azrael,,
Which religion celebrates Easter?,Judaism,Buddhism,Islam,Christianity,Christianity,,
What is the term for charity in Islam?,Hajj,Zakat,Sawm,Salat,Zakat,,
What is the Dome of the Rock?,Church,Temple,Mosque,Shrine,Shrine,,
What is the Jewish circumcision ceremony called?,Bar Mitzvah,Brit Milah,Havdalah,Shema,Brit Milah,,
Which prophet is associated with the rebuilding of the Jerusalem temple?,Ezra,David,Moses,Abraham,Ezra,,
What is the Christian celebration of Jesus’ birth?,Good Friday,Easter,Christmas,Trinity,Christmas,,
What is the Islamic term for fasting?,Salat,Zakat,Sawm,Hijrah,Sawm,,
What mountain did Moses receive the commandments on?,Mount Ararat,Mount Zion,Mount Sinai,Mount Tabor,Mount Sinai,,
Who is the founder of Christianity?,Jesus,Moses,Muhammad,Paul,Jesus,,
What is the Jewish prayer shawl called?,Hijab,Kippah,Tallit,Yarmulke,Tallit,,
In Christianity, what is sin?,Prayer,Disobedience to God,Wisdom,Charity,,
What is the holiest month in Islam?,Dhul-Hijjah,Shawwal,Muharram,Ramadan,Ramadan,,
What is the name of the Jewish law?,Canon Law,Sharia,Torah,Halakha,Halakha,,
Which prophet interpreted dreams in Egypt?,Isaac,Joseph,Jacob,Abel,Joseph,,
Which angel will blow the trumpet on Judgment Day in Islam?,Azrael,Mikail,Jibreel,Israfil,Israfil,,
Where was Prophet Muhammad born?,Jerusalem,Medina,Taif,Mecca,Mecca,,
What is the Jewish day of atonement?,Rosh Hashanah,Hanukkah,Yom Kippur,Sukkot,Yom Kippur,,
Which gospel writer was a physician?,Matthew,Luke,Mark,John,Luke,,
What is the Christian term for spreading the gospel?,Salah,Evangelism,Baptism,Witnessing,Evangelism,,
Which prophet was known for wisdom?,Solomon,Moses,Noah,Abraham,Solomon,,
What is the name of the first woman in Abrahamic religions?,Sarah,Rebecca,Hagar,Eve,Eve,,
What is the term for Islamic scripture besides the Quran?,Torah,Gospel,Hadith,Psalm,Hadith,,
Which religion fasts from sunrise to sunset during Ramadan?,Christianity,Hinduism,Islam,Judaism,Islam,,
What was Jesus’s occupation before ministry?,Priest,Shepherd,Fisherman,Carpenter,Carpenter,,
What is the term for Islamic sermons?,Sutras,Sabbath,Qibla,Khutbah,Khutbah,,
Who is the first patriarch of the Israelites?,Isaac,Jacob,Joseph,Abraham,Abraham,,
What is the Christian view of God?,Many gods,Single impersonal force,One God in three persons,No god,One God in three persons,,
What is the Jewish festival that commemorates the rededication of the temple?,Purim,Passover,Hanukkah,Yom Kippur,Hanukkah,,
What does “amen” mean?,Sadness,So be it,Glory,Thanks,So be it,,
Which prophet was taken to heaven in a chariot?,Isaiah,Elijah,Daniel,Ezekiel,Elijah,,
Which religion believes in the Torah?,Islam,Hinduism,Judaism,Buddhism,Judaism,,
What is the Arabic term for chapter in the Quran?,Surah,Ayah,Torah,Zabur,Surah,,
What is the name of Abraham’s son in Judaism?,Ishmael,Esau,Isaac,Yusuf,Isaac,,
What are the five pillars of Islam?,Faith, Prayer, Charity, Fasting, Pilgrimage,, 
Who led the Israelites after Moses?,Joseph,Joshua,Samuel,Aaron,Joshua,,
Which book details the life of Jesus?,Psalms,Gospel,Torah,Acts,Gospel,,
What’s the term for Muslim community leader?,Imam,Rabbi,Priest,Monk,Imam,,
What is the Jewish celebration of reaching adulthood?,Bat Mitzvah,Shabbat,Hanukkah,Yom Kippur,Bat Mitzvah,,
Who wrote many of the New Testament letters?,Peter,James,Paul,John,Paul,,
Which prophet is known for patience in suffering?,Jonah,Ayoub,Solomon,Jacob,Ayoub,,
What is the place of worship for Jews?,Church,Mosque,Temple,Chapel,Temple,,
What does the term “Messiah” mean in Hebrew?,Prophet,Anointed one,King of peace,Father,Anointed one,,
What is the Arabic term for verses in the Quran?,Surah,Hadith,Ayah,Zakat,Ayah,,
What is the holiest site in Judaism?,Wailing Wall,Temple Mount,Kaaba,Church of Nativity,Wailing Wall,,
Who is the wife of Abraham in the Bible?,Rachel,Hagar,Sarah,Leah,Sarah,,
What’s the Islamic direction of prayer?,North,East,West,Toward Mecca,Toward Mecca,,
Which prophet is called Kalimullah (one who spoke to God) in Islam?,Isa,Musa,Muhammad,Ibrahim,Musa,,
Which Jewish holiday features a menorah?,Purim,Hanukkah,Rosh Hashanah,Passover,Hanukkah,,
Which prophet was a king?,Isaiah,Moses,David,Elijah,David,,
What’s the main place of worship for Christians?,Temple,Mosque,Church,Chapel,Church,,
What is the central teaching of Islam?,Trinity,Ten Commandments,Oneness of God,Original sin,Oneness of God,,
What is the sacred text of Christianity?,Torah,Quran,Bible,Vedas,Bible,,
What is the Islamic declaration of faith?,Hajj,Zakat,Shahada,Salat,Shahada,,
Who was the father of Jacob?,Isaac,Abraham,Joseph,Noah,Isaac,,
What does “Islam” mean?,Faith,Submission,Peace,Truth,Submission,,
What is the Jewish holy day of rest?,Eid,Sabbath,Sunday,Monday,Sabbath,,
Who built the first mosque in Islam?,Ali,Umar,Bilal,Muhammad,Muhammad,,
What is a parable?,Law,Poem,Short moral story,Prayer,Short moral story,,
Which prophet led the Israelites out of Egypt?,David,Joseph,Isaiah,Moses,Moses,,
What is the Christian rite of initiation?,Circumcision,Baptism,Eucharist,Liturgy,Baptism,,
What do Muslims believe about Jesus?,Son of God,God,Messenger of God,False prophet,Messenger of God,,
Which language was the Quran revealed in?,Hebrew,Greek,Arabic,Aramaic,Arabic,,
Which disciple betrayed Jesus?,Peter,Matthew,Thomas,Judas,Judas,,
What is a mezuzah?,Jewish hat,Prayer shawl,Scroll on doorpost,Fasting day,Scroll on doorpost,,
Which angel delivered God’s messages to Mary?,Azrael,Mikail,Israfil,Gabriel,Gabriel,,
Where was the Torah revealed?,Mount Nebo,Mount Ararat,Mount Sinai,Mount Zion,Mount Sinai,,
Which religion teaches about original sin?,Islam,Judaism,Hinduism,Christianity,Christianity,,
Which prophet built the Kaaba?,Isaac,Ismail & Ibrahim,Muhammad,Adam & Hawa,Ismail & Ibrahim,,
Who was King David’s son?,Saul,Solomon,Samuel,Joseph,Solomon,,
What is “Eid al-Fitr”?,Festival of Hajj,Festival of breaking fast,Christian holiday,New Year,Festival of breaking fast,,
Who saw a ladder reaching to heaven in a dream?,Isaac,Jacob,Joseph,Daniel,Jacob,,
What is the Jewish New Year called?,Yom Kippur,Hoshanah,Rosh Hashanah,Sukkot,Rosh Hashanah,,
What do Christians believe about resurrection?,It’s metaphorical,It’s symbolic,Jesus physically rose from the dead,It was a dream,Jesus physically rose from the dead,,
What is a Muslim prayer ritual called?,Hajj,Salat,Zakat,Fatwa,Salat,,
Which king tried to kill baby Jesus?,Herod,Nebuchadnezzar,Caesar,Pilate,Herod,,
What do Jews read during Passover?,Torah,Quran,Haggadah,Bible,Haggadah,,
What is the Islamic calendar based on?,Solar,Lunar,Both,Natural,Lunar,,
Who was crucified according to Christian belief?,Peter,Paul,Jesus,Moses,Jesus,,
What is the Jewish festival of freedom?,Yom Kippur,Passover,Hanukkah,Sabbath,Passover,,
What do Muslims say before beginning any task?,Bismillah,Allahu Akbar,SubhanAllah,Inna lillah,Bismillah,,
What was the occupation of Prophet Muhammad before revelation?,Farmer,Merchant,Fisherman,Teacher,Merchant,,
